,model,year,price,transmission,mileage,engine size,mileage2,fuel type2,engine size2
1617, C Class,2015,18500,Automatic,8940,30,64.2,Diesel,2.1
1618, C Class,2015,15495,Semi-Auto,21064,125,52.3,Petrol,2.0
1619, C Class,2015,15890,Semi-Auto,54000,30,64.2,Diesel,2.1
1620, C Class,2019,26990,Semi-Auto,1237,145,46.3,Petrol,1.5
1621, C Class,2016,18490,Semi-Auto,36688,30,64.2,Diesel,1.6
1622, C Class,2019,24490,Semi-Auto,6877,145,61.4,Diesel,2.1
1623, C Class,2016,21500,Semi-Auto,37188,20,67.3,Diesel,2.1
1624, C Class,2019,23490,Semi-Auto,10530,145,46.3,Petrol,1.5
1625, C Class,2017,22995,Semi-Auto,21590,145,47.1,Petrol,2.0
1626, C Class,2018,24890,Semi-Auto,7859,145,40.4,Petrol,2.0
1627, C Class,2015,14150,Semi-Auto,60597,20,64.2,Diesel,2.1
1628, C Class,2016,15000,Manual,32254,30,65.7,Diesel,1.6
1629, C Class,2016,22495,Semi-Auto,25399,20,68.9,Diesel,2.1
1630, C Class,2017,19495,Semi-Auto,23136,30,64.2,Diesel,2.1
1631, C Class,2017,22395,Semi-Auto,26853,20,67.3,Diesel,2.1
1632, C Class,2017,19495,Semi-Auto,17257,145,50.4,Petrol,2.0
1633, C Class,2017,14995,Automatic,48054,145,64.2,Diesel,2.1
1634, C Class,2016,18995,Manual,9098,30,64.2,Diesel,2.1
1635, C Class,2019,28995,Automatic,4499,145,64.2,Diesel,2.0
1636, C Class,2019,26940,Automatic,4600,145,61.4,Diesel,2.0
1637, C Class,2019,25440,Semi-Auto,8763,145,61.4,Diesel,2.0
1638, C Class,2019,23740,Semi-Auto,13046,145,61.4,Diesel,2.0
1639, C Class,2016,17440,Automatic,25374,30,64.2,Diesel,2.1
1640, C Class,2019,30240,Automatic,4999,145,61.4,Diesel,2.0
1641, C Class,2019,28150,Automatic,1999,145,46.3,Petrol,1.5
1642, C Class,2019,32940,Automatic,4999,145,44.1,Petrol,1.5
1643, C Class,2019,31740,Automatic,4999,145,51.4,Diesel,2.0
1644, C Class,2019,30450,Automatic,4999,145,64.2,Diesel,2.0
1645, C Class,2019,32540,Automatic,2960,145,55.4,Diesel,2.0
1646, C Class,2019,35891,Automatic,4721,145,64.2,Diesel,2.0
1647, C Class,2016,21991,Semi-Auto,32924,20,67.3,Diesel,2.1
1648, C Class,2017,21111,Semi-Auto,24900,30,61.4,Diesel,2.1
1649, C Class,2018,18171,Semi-Auto,35517,145,49.6,Petrol,2.0
1650, C Class,2019,24202,Automatic,8252,145,45.6,Petrol,1.5
1651, C Class,2019,30436,Automatic,10335,145,57.7,Diesel,2.0
1652, C Class,2019,31216,Automatic,4463,145,57.7,Diesel,2.0
1653, C Class,2019,28466,Automatic,4938,145,61.4,Diesel,2.0
1654, C Class,2019,26396,Semi-Auto,14107,145,61.4,Diesel,2.0
1655, C Class,2020,30990,Semi-Auto,2780,145,61.4,Diesel,2.0
1656, C Class,2019,27990,Automatic,5824,145,54.3,Diesel,1.6
1657, C Class,2019,28990,Automatic,4824,145,64.2,Diesel,2.0
1658, C Class,2019,24990,Semi-Auto,7419,145,64.2,Diesel,2.0
1659, C Class,2019,25490,Semi-Auto,10079,145,45.6,Petrol,1.5
1660, C Class,2019,21290,Semi-Auto,14640,145,61.4,Diesel,2.0
1661, C Class,2018,24990,Semi-Auto,10010,145,46.3,Petrol,1.5
1662, C Class,2019,23990,Semi-Auto,9160,150,45.6,Petrol,1.5
1663, C Class,2015,16990,Semi-Auto,36798,30,64.2,Diesel,2.1
1664, C Class,2018,26890,Semi-Auto,14085,145,56.5,Diesel,2.0
1666, C Class,2019,30666,Automatic,10062,145,54.3,Diesel,2.0
1667, C Class,2019,31876,Semi-Auto,9339,145,54.3,Diesel,2.0
1668, C Class,2019,26866,Automatic,5019,145,46.3,Petrol,1.5
1669, C Class,2019,28825,Semi-Auto,8351,145,56.5,Diesel,2.0
